RC_id,ADRF_id,RC_title,ADRF_title,RC_Provider,ADRF_Provider,RC_description,ADRF_description,RC_provider_id,ADRF_provider_id
dataset-367,adrf-000070,US Department of Housing and Urban Development Program Microdata - Households: Illinois,US Department of Housing and Urban Development Program Microdata 2004-2016 - Households: New York,US Department of Housing and Urban Development,US Department of Housing and Urban Development,"Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).","Detailed transactional data consisting of tenant-level data for households in the US Department of Housing and Urban Development's (HUD) largest rental assistance programs: the Housing Choice Voucher Program, Public Housing, Project-based Section 8, and the Section 202/811 Programs. The dataset includes information on households aggregated at the Census block level, including household family type, rent, years in program, and income. Data originate from two sources within HUD: The Public and Indian Housing (PIH) Information Center and Tenant Rental Assistance Certification System (TRACS).


Please access the full dataset in course database table: hud.hud_household_block_data_ny",provider-231,20
dataset-411,adrf-000076,United States Zipcode to County Relationship File,United States Zipcode to County Relationship File,US Department of Housing and Urban Development,"U.S. Department of Housing and Urban Development, US Census Bureau",Cross walk of United States Postal Service (USPS) Zip codes to their equivalent Census defined counties as of Q1 2013. Original crosswalk is provided by the U.S. Department of Housing and Urban Development (HUD) and has been joined with US Census Bureau 2010 FIPS Codes for Counties and County Equivalent Entities to provide county names.,Cross walk of United States Postal Service (USPS) Zip codes to their equivalent Census defined counties as of Q1 2013. Original crosswalk is provided by the U.S. Department of Housing and Urban Development (HUD) and has been joined with US Census Bureau 2010 FIPS Codes for Counties and County Equivalent Entities to provide county names.,provider-231,36
dataset-141,adrf-000005,1990 Census of Population General Population Characteristics Massachusetts,Decennial Census Illinois Profile of General Population and Housing Characteristics: 2000,US Census Bureau,US Census Bureau,,"The Demographic Profile Summary File (SF1) contains 100 percent data asked of all people and about every housing unit on topics such as sex, age, race, Hispanic or Latino origin, household relationship, householdtype, group quarters population, housing occupancy, and housing tenure.",provider-225,13
dataset-141,adrf-000006,1990 Census of Population General Population Characteristics Massachusetts,Decennial Census Illinois Profile of General Population and Housing Characteristics: 2010,US Census Bureau,US Census Bureau,,"The Demographic Profile Summary File contains 100 percent data asked of all people and about every housing unit on topics such as sex, age, race, Hispanic or Latino origin, household relationship, householdtype, group quarters population, housing occupancy, and housing tenure.",provider-225,13
dataset-410,adrf-000007,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,"Illinois Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Origin-Destination - Cook County, IL",US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000008,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,"Illinois Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Residential Area Characteristics - Cook County, IL",US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000009,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,"Illinois Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Workplace Area Characteristics - Cook County, IL",US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-408,adrf-000057,Census ZIP Code Tabulation Area to Census Tract Relationship File,2010 Census ZIP Code Tabulation Area (ZCTA) to Census Tract Relationship File,US Census Bureau,US Census Bureau,"The 2010 ZIP Code Tabulation Area (ZCTA) to Census Tract Relationship file provides a simple crosswalk between the 2010 ZCTAs and 2010 Census tracts. From this file, data users may determine which ZCTAs exist within the other geographies and vice versa. ","The 2010 ZIP Code Tabulation Area (ZCTA) to Census Tract Relationship file provides a simple crosswalk between the 2010 ZCTAs and 2010 Census tracts. From this file, data users may determine which ZCTAs exist within the other geographies and vice versa. 

The ZCTA relationship files are nation-based comma-delimited ASCII files and include all 50 states, the District of Columbia, and Puerto Rico.

These files represent intersections of geography only.  For instance, for the ZCTA to place relationship file, a unique combination of ZCTA and place FIPS code must exist for a record to be included in the file. Areas where the Census Bureau has delineated a ZCTA, but no place exists, are considered remainder records and are not included in this file. Situations where no ZCTA exists or where there is neither a ZCTA nor a place are also excluded from this file. The same logic applies to all other relationship files. However, data users should be aware that the totals given for the ZCTA or the geographic entity are full totals as published for the 2010 Census, therefore, data users should note that summing the part record totals may not match the totals for the ZCTAs and/or the related entities.",provider-225,13
dataset-027,adrf-000060,Survey of Income and Program Participation,2014 Survey of Income and Program Participation Wave 1,US Census Bureau,US Census Bureau,"SIPP is the premier source of information for income and program participation. SIPP collects data and measures change for many topics including: economic well-being, family dynamics, education, assets, health insurance, childcare, and food security.","This dataset includes the main 2014, Wave 1 data file for The Survey of Income and Program Participation (SIPP) as well as the Replicate Weight File. The U.S. Census Bureau is releasing the initial version of public data from the reengineered SIPP.  This dataset contains variables from Wave 1 of the 2014 SIPP panel.  The SIPP is the Census Bureau’s premier survey for measuring the dynamics of income, employment, health insurance, and participation in government transfer programs.  The survey provides detailed, monthly information about the family, social, and economic contexts of individuals and households.  SIPP is a longitudinal survey, following the same set of respondents over a four-year period, allowing researchers to understand how these contexts change over time.


Please see the 2014 Panel Users’ Guide, included with this dataset, for more details.",provider-225,13
dataset-410,adrf-000066,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,New York Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Origin-Destination - New York City,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000067,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,New York Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Residential Area Characteristics - New York City,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000068,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,New York Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Workplace Area Characteristics - New York City,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000078,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,LEHD Origin-Destination Employment Statistics (LODES) Census Geography Crosswalk - Illinois,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","A lookup table from Census Blocks to multiple other Census geographic entities, as listed in the data dictionary. This is the geographic crosswalk file for Illinois and is in the public schema of the ""appliedda"" database with the name ""lodes_census_geography_crosswalk_il"".


The primary key/identifier in the Geography Crosswalk is the 2010 Census Tabulation Block Code (tabblk2010). This code does not change between Decennial Censuses and can be used to link to the geocodes in the Origin-Destination/Residential Area Characteristics/Workplace Area Characteristics files as well as other datasets which include fields that resolve to Census geography entities. All other geographic codes in the crosswalk are “current” and represent the most recent definitions of the legal, statistical, or administrative areas as integrated into LODES and OnTheMap.",provider-225,13
dataset-410,adrf-000081,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,LEHD Origin-Destination Employment Statistics (LODES) Census Geography Crosswalk - New York,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","A lookup table from Census Blocks to multiple other Census geographic entities, as listed in the data dictionary. This is the geographic crosswalk file for New York State and is in the public schema of the ""appliedda"" database with the name ""ny_xwalk"". 


The primary key/identifier in the Geography Crosswalk is the 2010 Census Tabulation Block Code (tabblk2010). This code does not change between Decennial Censuses and can be used to link to the geocodes in the Origin-Destination/Residential Area Characteristics/Workplace Area Characteristics files as well as other datasets which include fields that resolve to Census geography entities. All other geographic codes in the crosswalk are “current” and represent the most recent definitions of the legal, statistical, or administrative areas as integrated into LODES and OnTheMap.",provider-225,13
dataset-410,adrf-000088,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Illinois State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Origin-Destination,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","Illinois state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000089,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Illinois State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Residential Area Characteristics,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","Illinois state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000090,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Illinois State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Workplace Area Characteristics ,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","Illinois state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.",provider-225,13
dataset-410,adrf-000092,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Missouri State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Origin-Destination,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","Missouri state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2015.",provider-225,13
dataset-410,adrf-000093,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Missouri State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Residential Area Characteristics,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","MIssouri state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2015.",provider-225,13
dataset-410,adrf-000094,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,Missouri State Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics - Workplace Area Characteristics ,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","MIssouri state LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2015.",provider-225,13
dataset-410,adrf-000095,Longitudinal Employer-Household Dynamics Origin-Destination Employment Statistics,LEHD Origin-Destination Employment Statistics (LODES) Census Geography Crosswalk - Missouri,US Census Bureau,US Census Bureau,"LEHD Origin-Destination Employment Statistics (LODES) used by OnTheMap are available for download below. Version 7 of LODES was enumerated by 2010 census blocks. Previous versions of LODES were enumerated with 2000 census blocks. Data files are state-based and organized into three types: Origin-Destination (OD), Residence Area Characteristics (RAC), and Workplace Area Characteristics (WAC), all at census block geographic detail. Data is available for most states for the years 2002-2014.","A lookup table from Census Blocks to multiple other Census geographic entities, as listed in the data dictionary. This is the geographic crosswalk file for Missouri and is in the public schema of the ""appliedda"" database with the name ""lodes_census_geography_crosswalk_mo"".


The primary key/identifier in the Geography Crosswalk is the 2010 Census Tabulation Block Code (tabblk2010). This code does not change between Decennial Censuses and can be used to link to the geocodes in the Origin-Destination/Residential Area Characteristics/Workplace Area Characteristics files as well as other datasets which include fields that resolve to Census geography entities. All other geographic codes in the crosswalk are “current” and represent the most recent definitions of the legal, statistical, or administrative areas as integrated into LODES and OnTheMap.",provider-225,13
