match	certainty	uuid	hit_sur	hit_giv	auth_sur	auth_giv	source	fuzzy	sur_equal	sur_len_diff	sur_nrm_equal	sur_dec_equal	sur_sim	giv_equal	giv_len_diff	giv_nrm_equal	giv_dec_equal	giv_sim	init_sub
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-14082c76e2bedbea7a8f'	b'Smajlbegovic'	b'Esad'	b'Smajlbegovic'	b'Esad'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-0cf1e4068ea5f07630c5'	b'Memmel'	b'Christoph'	b'Memmel'	b'Christoph'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-0cf1e4068ea5f07630c5'	b'Memmel'	b'Christoph'	b'Memmel'	b'Christoph'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-0cf1e4068ea5f07630c5'	b'Memmel'	b'Christoph'	b'Memmel'	b'Christoph'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-0cf1e4068ea5f07630c5'	b'Memmel'	b'Christoph'	b'Memmel'	b'Christoph'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-bf9532b0c49b2d6cc978'	b'Holl'	b'Dorothee'	b'Holl'	b'Dorothee'
0.9	0	0	-7	0	0.631578947368421	1	0	1	1	0	1	1.0	1	0.631578947368421	b'author-ec32a1f496f2439c69ee'	b'Schertler'	b'Andrea Gisela'	b'Schertler'	b'Andrea'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-90c3bb335de7eb8c2f54'	b'Kuzin'	b'Vladimir'	b'Kuzin'	b'Vladimir'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-24404408d5c7148d474a'	b'Schobert'	b'Franziska'	b'Schobert'	b'Franziska'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-90c3bb335de7eb8c2f54'	b'Kuzin'	b'Vladimir'	b'Kuzin'	b'Vladimir'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-24404408d5c7148d474a'	b'Schobert'	b'Franziska'	b'Schobert'	b'Franziska'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-90c3bb335de7eb8c2f54'	b'Kuzin'	b'Vladimir'	b'Kuzin'	b'Vladimir'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-24404408d5c7148d474a'	b'Schobert'	b'Franziska'	b'Schobert'	b'Franziska'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-7a09df6508261574d910'	b'Dombret'	b'Andreas'	b'Dombret'	b'Andreas'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-90a2a092c353834732e0'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-fca65e5dd0ff1663991a'	b'Rocholl'	b'Joerg'	b'Rocholl'	b'Joerg'
0.8	0	0	2	0	0.875	1	5	1	1	0	1	1.0	1	0.875	b'author-7a09df6508261574d910'	b'Dombret'	b'Andreas R.'	b'Dombret'	b'Andreas R.'
0.8	1	0	0	0	1.0	1	5	1	1	0	1	1.0	1	0.8	b'author-90a2a092c353834732e0'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yal\xc4\xb1n'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-fca65e5dd0ff1663991a'	b'Rocholl'	b'Joerg'	b'Rocholl'	b'Joerg'
1.0	0	0	-2	0	0.875	1	1	1	1	0	1	1.0	1	0.875	b'author-7a09df6508261574d910'	b'Dombret'	b'Andreas R.'	b'Dombret'	b'Andreas'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-90a2a092c353834732e0'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-fca65e5dd0ff1663991a'	b'Rocholl'	b'Joerg'	b'Rocholl'	b'Joerg'
1.0	0	0	-2	0	0.875	1	4	1	1	0	1	1.0	1	0.875	b'author-7a09df6508261574d910'	b'Dombret'	b'Andreas R.'	b'Dombret'	b'Andreas'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-90a2a092c353834732e0'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'	b'G\xc3\xbcnd\xc3\xbcz'	b'Yalin'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-fca65e5dd0ff1663991a'	b'Rocholl'	b'Joerg'	b'Rocholl'	b'Joerg'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-c3bdf8fb4f36a4206c30'	b'Besede\xc5\xa1'	b'Tibor'	b'Besede\xc5\xa1'	b'Tibor'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-751a4478d6a328f674f9'	b'Goldbach'	b'Stefan'	b'Goldbach'	b'Stefan'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-0c61946798c0de34946b'	b'Nitsch'	b'Volker'	b'Nitsch'	b'Volker'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-022b12bb8c288fe57740'	b'Martinez'	b'Stephen W.'	b'Martinez'	b'Stephen W.'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-263c24627cf0117e08d5'	b'Levin'	b'David'	b'Levin'	b'David'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-022b12bb8c288fe57740'	b'Martinez'	b'Stephen W.'	b'Martinez'	b'Stephen W.'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-263c24627cf0117e08d5'	b'Levin'	b'David'	b'Levin'	b'David'
0.9	0	0	-2	0	0.8	1	0	1	1	0	1	1.0	1	0.8	b'author-736e56aa3c7ddec36078'	b'Prell'	b'Mark A.'	b'Prell'	b'Mark'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-f43172afc2f0229d724e'	b'Newman'	b'Constance'	b'Newman'	b'Constance'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-13c30462a69ca5684621'	b'Scherpf'	b'Erik'	b'Scherpf'	b'Erik'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-8d01f3f561bffc78caf5'	b'Prell'	b'Mark'	b'Prell'	b'Mark'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-f43172afc2f0229d724e'	b'Newman'	b'Constance'	b'Newman'	b'Constance'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-13c30462a69ca5684621'	b'Scherpf'	b'Erik'	b'Scherpf'	b'Erik'
0.9	0	0	-2	0	0.8	1	0	1	1	0	1	1.0	1	0.8	b'author-736e56aa3c7ddec36078'	b'Prell'	b'Mark A.'	b'Prell'	b'Mark'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-f43172afc2f0229d724e'	b'Newman'	b'Constance'	b'Newman'	b'Constance'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-13c30462a69ca5684621'	b'Scherpf'	b'Erik'	b'Scherpf'	b'Erik'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-8d01f3f561bffc78caf5'	b'Prell'	b'Mark'	b'Prell'	b'Mark'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-f43172afc2f0229d724e'	b'Newman'	b'Constance'	b'Newman'	b'Constance'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-13c30462a69ca5684621'	b'Scherpf'	b'Erik'	b'Scherpf'	b'Erik'
0.9	0	0	-2	0	0.8333333333333334	1	0	1	1	0	1	1.0	1	0.8333333333333334	b'author-d3c2196a94e60ac10a5e'	b'Cho'	b'Clare Y.'	b'Cho'	b'Clare'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-514a2856a0fc7fcf8681'	b'Zeballos'	b'Eliana'	b'Zeballos'	b'Eliana'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-888909eb67753ee136d4'	b'Cho'	b'Clare'	b'Cho'	b'Clare'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-48835e0b5465ad026a27'	b'W. McLaughlin'	b'Patrick'	b'W. McLaughlin'	b'Patrick'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-514a2856a0fc7fcf8681'	b'Zeballos'	b'Eliana'	b'Zeballos'	b'Eliana'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-344945945a073a5f5e7f'	b'Kent'	b'Jessica'	b'Kent'	b'Jessica'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-c05f9f4c01af3737a60b'	b'Dicken'	b'Chris'	b'Dicken'	b'Chris'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-22a2082831f602d12c26'	b'Todd'	b'Jessica E.'	b'Todd'	b'Jessica E.'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-22a2082831f602d12c26'	b'Todd'	b'Jessica E.'	b'Todd'	b'Jessica E.'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-e80d079b419254dedc34'	b'Carlson'	b'Andrea'	b'Carlson'	b'Andrea'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-6f1da7407e0d68a3516d'	b'Jaenicke'	b'Edward C.'	b'Jaenicke'	b'Edward'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-e80d079b419254dedc34'	b'Carlson'	b'Andrea'	b'Carlson'	b'Andrea'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-e87a9dda8c3f26a4948e'	b'Jaenicke'	b'Edward'	b'Jaenicke'	b'Edward'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne F.'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-0d4f9682e4c7bb2fc5f3'	b'Rogus'	b'Stephanie'	b'Rogus'	b'Stephanie'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-667b3595416181bc04c4'	b'Ralston'	b'Katherine'	b'Ralston'	b'Katherine'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-6d9a3cee5ea79ff0d434'	b'Kuchler'	b'Fred'	b'Kuchler'	b'Fred'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-8312f84b6c8a9b0af190'	b'Rhodes'	b'M. Taylor'	b'Rhodes'	b'M. Taylor'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-6d9a3cee5ea79ff0d434'	b'Kuchler'	b'Fred'	b'Kuchler'	b'Fred'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-fb3c5a65a834d2e19086'	b'McClelland'	b'Ket'	b'McClelland'	b'Ket'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-f198c11d90d7adf161b0'	b'Hamrick'	b'Karen S.'	b'Hamrick'	b'Karen S.'
0.9	0	0	-2	0	0.8	1	0	1	1	0	1	1.0	1	0.8	b'author-8f238854e820dde1546e'	b'Rahkovsky'	b'Ilya M.'	b'Rahkovsky'	b'Ilya'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-a80ecd0c19eb14db8408'	b'Jo'	b'Young'	b'Jo'	b'Young'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-e80d079b419254dedc34'	b'Carlson'	b'Andrea'	b'Carlson'	b'Andrea'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-8f238854e820dde1546e'	b'Rahkovsky'	b'Ilya'	b'Rahkovsky'	b'Ilya'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-a80ecd0c19eb14db8408'	b'Jo'	b'Young'	b'Jo'	b'Young'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-e80d079b419254dedc34'	b'Carlson'	b'Andrea'	b'Carlson'	b'Andrea'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-667b3595416181bc04c4'	b'Ralston'	b'Katherine'	b'Ralston'	b'Katherine'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-a2db804963faf6292f38'	b'Hyman'	b'Jeffrey'	b'Hyman'	b'Jeffrey'
0.9	0	0	0	0	0.2857142857142857	1	0	1	1	0	1	1.0	1	0.2857142857142857	b'author-f33c73ab383bfe210b60'	b'Smith'	b'Megan V.'	b'Smith'	b'Michael'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-667b3595416181bc04c4'	b'Ralston'	b'Katherine'	b'Ralston'	b'Katherine'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-23e5d2773c8d1f26614f'	b'Beaulieu'	b'Elizabeth'	b'Beaulieu'	b'Elizabeth'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-a2db804963faf6292f38'	b'Hyman'	b'Jeffrey'	b'Hyman'	b'Jeffrey'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-7a2c6627dee9cb7dfde7'	b'Benson'	b'Matthew'	b'Benson'	b'Matthew'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-bfda535bcd19df3690d1'	b'Smith'	b'Michael'	b'Smith'	b'Michael'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne F.'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-457318758a42139242ff'	b'Bovay'	b'John'	b'Bovay'	b'John'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-b7302378c2ff75bc7baf'	b'Benicio'	b'Casiano'	b'Benicio'	b'Casiano'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne F.'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne F.'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne'	b'Guthrie'	b'Joanne'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-4326bbe85d1c532bc98f'	b'Ollinger'	b'Michael'	b'Ollinger'	b'Michael'
0.9	0	0	-2	0	0.8571428571428571	1	0	1	1	0	1	1.0	1	0.8571428571428571	b'author-ea9f74a7c772d5d48d84'	b'Guthrie'	b'Joanne F.'	b'Guthrie'	b'Joanne'
